"","species","country","ISO","status","threat","threat_no_DD","Traded","prod","pet","pet_prod","UT_trade","Cites_trade","HC_trade","IUCN_text_trade","Source","taxa","Order","Family","genus","phyloname","phyloFamily","Body","ED","ED_95_taxa","ED_95_fam","Cites_type","Cites_purpose","Cites_pet","Cites_prod","UT_type","UT_trade_inter","UT_trade_nat","UT_trade_local","UT_trade_all","Cites_year","Cites_appendices","Cites_name","TradeCitesOrg","AppIcites","AppIIcites","AppIIIcites","AppNcites","Cites_splus","Cites_splus_listing","Cites_splus_name","Cites_lookalike","lookalike_only","API","HC_checked","HC_checked_by","keyword","IUCN_text_checked"
"1","Leptodactylus knudseni","Brazil","BR","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Leptodactylidae","Leptodactylus","Leptodactylus knudseni","Leptodactylidae",165,17.4162966086132,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"2","Hypsiboas stellae","Brazil","BR","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Hylidae","Hypsiboas","Hypsiboas stellae","Hylidae",56,7.05148188597537,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"3","Scinax tigrinus","Brazil","BR","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Hylidae","Scinax","Scinax tigrinus","Hylidae",30.8,8.67451631201764,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"4","Brachycephalus hermogenesi","Brazil","BR","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Brachycephalidae","Brachycephalus","Brachycephalus hermogenesi","Brachycephalidae",15,10.3823851856469,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"5","Bokermannohyla langei","Brazil","BR","DD",1,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Hylidae","Bokermannohyla","Bokermannohyla langei","Hylidae",66,20.0326178767148,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"6","Brachycephalus vertebralis","Brazil","BR","DD",1,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Brachycephalidae","Brachycephalus","Brachycephalus vertebralis","Brachycephalidae",15.1,11.6527876446469,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"7","Callimedusa tomopterna","Brazil","BR","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Phyllomedusidae","Callimedusa","Phyllomedusa tomopterna","Hylidae",NA,27.0622544346563,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"8","Dendrophryniscus leucomystax","Brazil","BR","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Bufonidae","Dendrophryniscus","Dendrophryniscus leucomystax","Bufonidae",53.6790417584914,19.4110446316211,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"9","Amazophrynella minuta","Brazil","BR","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Bufonidae","Amazophrynella","Amazophrynella minuta","Bufonidae",NA,40.4365091402422,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"10","Frostius pernambucensis","Brazil","BR","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Bufonidae","Frostius","Frostius pernambucensis","Bufonidae",46.4928706208311,26.4015209587501,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"11","Melanophryniscus sanmartini","Brazil","BR","NT",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Bufonidae","Melanophryniscus","Melanophryniscus sanmartini","Bufonidae",26,18.9528305425626,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"12","Vitreorana eurygnatha","Brazil","BR","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Centrolenidae","Vitreorana","Vitreorana eurygnatha","Centrolenidae",23,20.8164680974664,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"13","Allobates marchesianus","Brazil","BR","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Aromobatidae","Allobates","Allobates marchesianus","Dendrobatidae",18,37.5242247260834,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"14","Allobates olfersioides","Brazil","BR","VU",1,1,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Aromobatidae","Allobates","Allobates olfersioides","Dendrobatidae",19,20.8333262540417,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"15","Hypsiboas phaeopleura","Brazil","BR","DD",1,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Hylidae","Hypsiboas","Hypsiboas phaeopleura","Hylidae",37,14.5200903836529,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"16","Ameerega hahneli","Brazil","BR","LC",0,0,1,0,1,"pet",0,1,0,0,"CITES","Amphibian","Anura","Dendrobatidae","Ameerega","Ameerega hahneli","Dendrobatidae",23,7.64850676319606,"no","no","live","TRUE",1,0,NA,NA,NA,NA,NA,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016","II","Ameerega hahneli",1,0,1,0,0,1,"II","Ameerega spp.","1",0,0,NA,NA,0,0
