"","species","country","ISO","status","threat","threat_no_DD","Traded","prod","pet","pet_prod","UT_trade","Cites_trade","HC_trade","IUCN_text_trade","Source","taxa","Order","Family","genus","phyloname","phyloFamily","Body","ED","ED_95_taxa","ED_95_fam","Cites_type","Cites_purpose","Cites_pet","Cites_prod","UT_type","UT_trade_inter","UT_trade_nat","UT_trade_local","UT_trade_all","Cites_year","Cites_appendices","Cites_name","TradeCitesOrg","AppIcites","AppIIcites","AppIIIcites","AppNcites","Cites_splus","Cites_splus_listing","Cites_splus_name","Cites_lookalike","lookalike_only","API","HC_checked","HC_checked_by","keyword","IUCN_text_checked"
"1","Rhinella beebei","Colombia","CO","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Bufonidae","Rhinella","Rhinella humboldti","Bufonidae",NA,19.5908108843892,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"2","Pristimantis ridens","Colombia","CO","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Craugastoridae","Pristimantis","Pristimantis ridens","Strabomantidae",26.4,63.4596266637188,"yes","yes",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"3","Leptodactylus knudseni","Colombia","CO","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Leptodactylidae","Leptodactylus","Leptodactylus knudseni","Leptodactylidae",165,17.4162966086132,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"4","Elachistocleis panamensis","Colombia","CO","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Microhylidae","Elachistocleis","Elachistocleis panamensis","Microhylidae",NA,18.7918114880202,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"5","Pristimantis stictus","Colombia","CO","NT",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Craugastoridae","Pristimantis",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"6","Dendropsophus padreluna","Colombia","CO","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Hylidae","Dendropsophus","Dendropsophus padreluna","Hylidae",34.4,11.7751024635743,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"7","Dendropsophus stingi","Colombia","CO","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Hylidae","Dendropsophus","Dendropsophus stingi","Hylidae",26.2,8.79593079492335,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"8","Rhaebo colomai","Colombia","CO","CR",1,1,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Bufonidae","Rhaebo","Andinophryne colomai","Bufonidae",NA,36.5410080678253,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"9","Rhaebo colomai","Colombia","CO","CR",1,1,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Bufonidae","Rhaebo","Andinophryne colomai","Bufonidae",NA,36.5410080678253,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"10","Callimedusa tomopterna","Colombia","CO","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Phyllomedusidae","Callimedusa","Phyllomedusa tomopterna","Hylidae",NA,27.0622544346563,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"11","Atelopus carauta","Colombia","CO","DD",1,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Bufonidae","Atelopus","Atelopus carauta","Bufonidae",46.7,16.7605094963787,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"12","Hyalinobatrachium colymbiphyllum","Colombia","CO","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Centrolenidae","Hyalinobatrachium","Hyalinobatrachium colymbiphyllum","Centrolenidae",29,17.3713574040078,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"13","Atelopus lozanoi","Colombia","CO","EN",1,1,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Bufonidae","Atelopus","Atelopus lozanoi","Bufonidae",38,32.0327983326172,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"14","Atelopus mandingues","Colombia","CO","DD",1,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Bufonidae","Atelopus","Atelopus mandingues","Bufonidae",36,5.40637370247507,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"15","Atelopus minutulus","Colombia","CO","CR",1,1,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Bufonidae","Atelopus","Atelopus minutulus","Bufonidae",25.5,3.30005336138128,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"16","Atelopus walkeri","Colombia","CO","DD",1,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Bufonidae","Atelopus","Atelopus walkeri","Bufonidae",49.3,19.5389483217647,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"17","Amazophrynella minuta","Colombia","CO","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Bufonidae","Amazophrynella","Amazophrynella minuta","Bufonidae",NA,40.4365091402422,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"18","Osornophryne percrassa","Colombia","CO","VU",1,1,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Bufonidae","Osornophryne","Osornophryne percrassa","Bufonidae",30,10.1404712768526,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"19","Centrolene antioquiense","Colombia","CO","NT",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Centrolenidae","Centrolene","Centrolene antioquiense","Centrolenidae",22.5,9.08938780868848,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"20","Centrolene bacatum","Colombia","CO","DD",1,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Centrolenidae","Centrolene","Centrolene bacatum","Centrolenidae",26.5,15.2751834636385,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"21","Centrolene ballux","Colombia","CO","CR",1,1,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Centrolenidae","Centrolene","Centrolene ballux","Centrolenidae",46.4928706208311,7.42416327832981,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"22","Centrolene geckoideum","Colombia","CO","VU",1,1,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Centrolenidae","Centrolene","Centrolene geckoideum","Centrolenidae",74.5,19.3634862280078,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"23","Cochranella litoralis","Colombia","CO","DD",1,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Centrolenidae","Cochranella","Cochranella litoralis","Centrolenidae",NA,16.7697611594082,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"24","Centrolene peristictum","Colombia","CO","VU",1,1,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Centrolenidae","Centrolene","Centrolene peristictum","Centrolenidae",20.6,9.08938780868848,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"25","Centrolene petrophilum","Colombia","CO","EN",1,1,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Centrolenidae","Centrolene","Centrolene petrophilum","Centrolenidae",38,19.3634862280078,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"26","Espadarana prosoblepon","Colombia","CO","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Centrolenidae","Espadarana","Espadarana prosoblepon","Centrolenidae",31,11.2568869749854,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"27","Centrolene scirtetes","Colombia","CO","DD",1,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Centrolenidae","Centrolene","Centrolene scirtetes","Centrolenidae",45.8722730241788,13.9044466817539,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"28","Rulyrana adiazeta","Colombia","CO","VU",1,1,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Centrolenidae","Rulyrana","Rulyrana adiazeta","Centrolenidae",28.8,4.89956854098071,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"29","Cochranella euknemos","Colombia","CO","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Centrolenidae","Cochranella","Cochranella euknemos","Centrolenidae",32,14.0876241874541,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"30","Cochranella megistra","Colombia","CO","EN",1,1,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Centrolenidae","Cochranella","Cochranella megista","Centrolenidae",NA,14.0571285372041,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"31","Hyloxalus abditaurantius","Colombia","CO","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Dendrobatidae","Hyloxalus","Hyloxalus abditaurantius","Dendrobatidae",34.8,12.3507895084963,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"32","Hyloxalus bocagei","Colombia","CO","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Dendrobatidae","Hyloxalus","Hyloxalus bocagei","Dendrobatidae",29.5,28.5187748704249,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"33","Silverstoneia erasmios","Colombia","CO","DD",1,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Dendrobatidae","Silverstoneia","Silverstoneia erasmios","Dendrobatidae",21.6,12.7106539133864,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"34","Hyloxalus lehmanni","Colombia","CO","NT",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Dendrobatidae","Hyloxalus","Hyloxalus lehmanni","Dendrobatidae",22.8,30.8886467513244,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"35","Allobates marchesianus","Colombia","CO","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Aromobatidae","Allobates","Allobates marchesianus","Dendrobatidae",18,37.5242247260834,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"36","Silverstoneia nubicola","Colombia","CO","NT",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Dendrobatidae","Silverstoneia","Silverstoneia nubicola","Dendrobatidae",23,40.2256806423455,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"37","Colostethus panamansis","Colombia","CO","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Dendrobatidae","Colostethus","Colostethus panamansis","Dendrobatidae",29.2,13.5651485942694,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"38","Andinobates minutus","Colombia","CO","LC",0,0,1,0,1,"pet",0,1,0,0,"CITES","Amphibian","Anura","Dendrobatidae","Andinobates","Andinobates minutus","Dendrobatidae",NA,14.8783506461202,"no","no","live","TRUE",1,0,NA,NA,NA,NA,NA,"1997","II","Andinobates minutus",1,0,1,0,0,1,"II","Andinobates spp.","1",0,0,NA,NA,0,1
"39","Cryptobatrachus boulengeri","Colombia","CO","VU",1,1,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Hemiphractidae","Cryptobatrachus","Cryptobatrachus boulengeri","Hemiphractidae",53.8,53.0944786199384,"yes","yes",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"40","Epipedobates boulengeri","Colombia","CO","LC",0,0,1,0,1,"pet",1,1,1,0,"CITES, IUCN","Amphibian","Anura","Dendrobatidae","Epipedobates","Epipedobates boulengeri","Dendrobatidae",21.8,38.0885737601909,"no","no","live","TRUE",1,0,"Pets/display animals, horticulture",1,1,0,1,"1994, 1995, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2005, 2009","II","Epipedobates boulengeri",1,0,1,0,0,1,"II","Epipedobates spp.","1",0,1,NA,NA,1,0
"41","Ameerega hahneli","Colombia","CO","LC",0,0,1,0,1,"pet",0,1,0,0,"CITES","Amphibian","Anura","Dendrobatidae","Ameerega","Ameerega hahneli","Dendrobatidae",23,7.64850676319606,"no","no","live","TRUE",1,0,NA,NA,NA,NA,NA,"2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016","II","Ameerega hahneli",1,0,1,0,0,1,"II","Ameerega spp.","1",0,0,NA,NA,0,0
"42","Allobates myersi","Colombia","CO","LC",0,0,1,0,0,"unknown",0,1,0,0,"CITES","Amphibian","Anura","Aromobatidae","Allobates","Allobates myersi","Dendrobatidae",56.4270072444057,43.4364924594848,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,1,"II","Allobates myersi","0",0,0,NA,NA,0,0
"43","Hyloscirtus psarolaimus","Colombia","CO","EN",1,1,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Hylidae","Hyloscirtus","Hyloscirtus psarolaimus","Hylidae",63.4,6.17307639875605,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"44","Hypsiboas pugnax","Colombia","CO","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Hylidae","Hypsiboas","Hypsiboas pugnax","Hylidae",75.7,22.2326751615717,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"45","Gastrotheca andaquiensis","Colombia","CO","NT",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Hemiphractidae","Gastrotheca","Gastrotheca andaquiensis","Hemiphractidae",77,4.94336924735475,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"46","Hypsiboas rubracylus","Colombia","CO","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Hylidae","Hypsiboas","Hypsiboas rubracylus","Hylidae",59,27.5288100463058,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"47","Gastrotheca helenae","Colombia","CO","DD",1,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Hemiphractidae","Gastrotheca","Gastrotheca helenae","Hemiphractidae",66,33.5481667389961,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"48","Gastrotheca trachyceps","Colombia","CO","EN",1,1,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Hemiphractidae","Gastrotheca","Gastrotheca trachyceps","Hemiphractidae",67.9,8.61044720208179,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"49","Hemiphractus bubalus","Colombia","CO","NT",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Hemiphractidae","Hemiphractus","Hemiphractus bubalus","Hemiphractidae",66.3,33.1418975902346,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"50","Hemiphractus fasciatus","Colombia","CO","NT",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Hemiphractidae","Hemiphractus","Hemiphractus fasciatus","Hemiphractidae",68.7,42.8899041904692,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"51","Hemiphractus helioi","Colombia","CO","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Hemiphractidae","Hemiphractus","Hemiphractus helioi","Hemiphractidae",57.9,67.3567079388767,"yes","yes",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"52","Hypsiboas fasciatus","Colombia","CO","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Hylidae","Hypsiboas","Hypsiboas fasciatus","Hylidae",51.2,19.2792641527015,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"53","Dendropsophus haraldschultzi","Colombia","CO","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Hylidae","Dendropsophus","Dendropsophus haraldschultzi","Hylidae",25,7.90378847809158,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
