"","species","country","ISO","status","threat","threat_no_DD","Traded","prod","pet","pet_prod","UT_trade","Cites_trade","HC_trade","IUCN_text_trade","Source","taxa","Order","Family","genus","phyloname","phyloFamily","Body","ED","ED_95_taxa","ED_95_fam","Cites_type","Cites_purpose","Cites_pet","Cites_prod","UT_type","UT_trade_inter","UT_trade_nat","UT_trade_local","UT_trade_all","Cites_year","Cites_appendices","Cites_name","TradeCitesOrg","AppIcites","AppIIcites","AppIIIcites","AppNcites","Cites_splus","Cites_splus_listing","Cites_splus_name","Cites_lookalike","lookalike_only","API","HC_checked","HC_checked_by","keyword","IUCN_text_checked"
"1","Odorrana hosii","Indonesia","ID","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Ranidae","Odorrana","Odorrana hosii","Ranidae",100,15.3567308001511,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"2","Polypedates otilophus","Indonesia","ID","LC",0,0,1,0,1,"pet",0,0,1,0,"IUCN","Amphibian","Anura","Rhacophoridae","Polypedates","Polypedates otilophus","Rhacophoridae",100,18.7146531622839,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,1,"DE","DE",1,0
"3","Philautus mjobergi","Indonesia","ID","NT",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Rhacophoridae","Philautus","Philautus mjobergi","Rhacophoridae",32,16.4169480346152,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"4","Pelophryne misera","Indonesia","ID","VU",1,1,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Bufonidae","Pelophryne","Pelophryne misera","Bufonidae",23,15.7692602258035,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"5","Leptophryne cruentata","Indonesia","ID","CR",1,1,1,0,1,"unknown",0,0,1,0,"IUCN","Amphibian","Anura","Bufonidae","Leptophryne","Leptophryne cruentata","Bufonidae",40,26.1233423987532,"no","no",NA,NA,0,0,"Pets/display animals, horticulture",0,0,0,1,"0","0","0",0,0,0,0,0,0,"0","0","0",0,1,"DE","DE",1,0
"6","Leptophryne cruentata","Indonesia","ID","CR",1,1,1,0,1,"unknown",0,0,1,0,"IUCN","Amphibian","Anura","Bufonidae","Leptophryne","Leptophryne cruentata","Bufonidae",40,26.1233423987532,"no","no",NA,NA,0,0,"Pets/display animals, horticulture",0,0,0,1,"0","0","0",0,0,0,0,0,0,"0","0","0",0,1,"DE","DE",1,0
"7","Litoria nasuta","Indonesia","ID","LC",0,0,1,0,1,"pet",1,0,0,1,"IUCN","Amphibian","Anura","Hylidae","Litoria","Litoria nasuta","Hylidae",50,8.50508295954747,"no","no",NA,NA,0,0,"Pets/display animals, horticulture",1,0,0,1,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,1,1
"8","Litoria rubella","Indonesia","ID","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Hylidae","Litoria","Litoria rubella","Hylidae",35,17.0034428458975,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"9","Ansonia spinulifer","Indonesia","ID","NT",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Bufonidae","Ansonia","Ansonia spinulifer","Bufonidae",50,25.9109733883634,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"10","Ansonia spinulifer","Indonesia","ID","NT",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Bufonidae","Ansonia","Ansonia spinulifer","Bufonidae",50,25.9109733883634,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
