"","species","country","ISO","status","threat","threat_no_DD","Traded","prod","pet","pet_prod","UT_trade","Cites_trade","HC_trade","IUCN_text_trade","Source","taxa","Order","Family","genus","phyloname","phyloFamily","Body","ED","ED_95_taxa","ED_95_fam","Cites_type","Cites_purpose","Cites_pet","Cites_prod","UT_type","UT_trade_inter","UT_trade_nat","UT_trade_local","UT_trade_all","Cites_year","Cites_appendices","Cites_name","TradeCitesOrg","AppIcites","AppIIcites","AppIIIcites","AppNcites","Cites_splus","Cites_splus_listing","Cites_splus_name","Cites_lookalike","lookalike_only","API","HC_checked","HC_checked_by","keyword","IUCN_text_checked"
"1","Dyscophus antongilii","Madagascar","MG","LC",0,0,1,0,1,"pet",1,1,1,1,"CITES, IUCN","Amphibian","Anura","Microhylidae","Dyscophus","Dyscophus antongilii","Microhylidae",110,29.3528853841057,"no","no","live","TRUE",1,0,"Pets/display animals, horticulture",1,0,0,1,"1988, 1995, 1996, 1998, 2001, 2002, 2004, 2007","I","Dyscophus antongilii",1,1,0,0,0,1,"II","Dyscophus antongilii","0",0,1,NA,NA,1,1
"2","Gephyromantis moseri","Madagascar","MG","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Mantellidae","Gephyromantis","Gephyromantis moseri","Mantellidae",39.1,22.8380028130436,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"3","Rhombophryne ornata","Madagascar","MG","EN",1,1,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Microhylidae","Rhombophryne",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"4","Spinomantis guibei","Madagascar","MG","VU",1,1,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Mantellidae","Spinomantis","Spinomantis guibei","Mantellidae",40,10.3648258856304,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"5","Mantidactylus guttulatus","Madagascar","MG","LC",0,0,1,1,0,"prod",1,0,1,0,"IUCN","Amphibian","Anura","Mantellidae","Mantidactylus","Mantidactylus guttulatus","Mantellidae",120,25.6673180321983,"no","no",NA,NA,0,0,"Food - human",0,1,1,1,"0","0","0",0,0,0,0,0,0,"0","0","0",0,1,NA,NA,1,0
"6","Mantidactylus ambreensis","Madagascar","MG","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Mantellidae","Mantidactylus","Mantidactylus ambreensis","Mantellidae",38,11.8775528030624,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"7","Mantidactylus biporus","Madagascar","MG","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Mantellidae","Mantidactylus","Mantidactylus biporus","Mantellidae",34,24.1581572591374,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"8","Gephyromantis blanci","Madagascar","MG","NT",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Mantellidae","Gephyromantis","Gephyromantis blanci","Mantellidae",23,8.29797529888435,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"9","Mantella expectata","Madagascar","MG","EN",1,1,1,0,1,"pet",1,1,1,1,"CITES, IUCN","Amphibian","Anura","Mantellidae","Mantella","Mantella expectata","Mantellidae",27.6,11.3718664303621,"no","no","live","TRUE",1,0,"Pets/display animals, horticulture",1,0,0,1,"1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2012, 2013, 2014, 2015","N, II","Mantella expectata",1,0,1,0,0,1,"II","Mantella spp.","1",0,1,NA,NA,1,1
"10","Mantella laevigata","Madagascar","MG","LC",0,0,1,1,1,"pet/prod",1,1,0,1,"CITES, IUCN","Amphibian","Anura","Mantellidae","Mantella","Mantella laevigata","Mantellidae",30,11.4798321778621,"no","no","live, bodies","TRUE",1,1,"Pets/display animals, horticulture",1,0,0,1,"1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010","N, II","Mantella laevigata",1,0,1,0,0,1,"II","Mantella spp.","1",0,0,NA,NA,1,1
"11","Mantella madagascariensis","Madagascar","MG","VU",1,1,1,1,1,"pet/prod",1,1,1,1,"CITES, IUCN","Amphibian","Anura","Mantellidae","Mantella","Mantella madagascariensis","Mantellidae",31,13.5905787632241,"no","no","live, bodies","TRUE",1,1,"Pets/display animals, horticulture",1,0,0,1,"1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016","N, II","Mantella madagascariensis",1,0,1,0,0,1,"II","Mantella spp.","1",0,1,NA,NA,1,1
"12","Mantella milotympanum","Madagascar","MG","CR",1,1,1,1,1,"pet/prod",1,1,1,1,"CITES, IUCN","Amphibian","Anura","Mantellidae","Mantella","Mantella milotympanum","Mantellidae",30,2.57316870852802,"no","no","live, bodies, specimens","TRUE",1,1,"Pets/display animals, horticulture",1,0,0,1,"2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2012, 2015","II","Mantella milotympanum",1,0,1,0,0,1,"II","Mantella spp.","1",0,1,NA,NA,1,1
"13","Mantella nigricans","Madagascar","MG","LC",0,0,1,1,1,"pet/prod",1,1,1,1,"CITES, IUCN","Amphibian","Anura","Mantellidae","Mantella","Mantella nigricans","Mantellidae",28,5.66473271358707,"no","no","bodies, live","TRUE",1,1,"Pets/display animals, horticulture",1,0,0,1,"2001, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016","II","Mantella nigricans",1,0,1,0,0,1,"II","Mantella spp.","1",0,1,NA,NA,1,1
"14","Gephyromantis klemmeri","Madagascar","MG","EN",1,1,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Mantellidae","Gephyromantis","Gephyromantis klemmeri","Mantellidae",26,25.3111688912748,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"15","Gephyromantis redimitus","Madagascar","MG","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Mantellidae","Gephyromantis","Gephyromantis redimitus","Mantellidae",53,21.4959920735873,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"16","Gephyromantis silvanus","Madagascar","MG","VU",1,1,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Mantellidae","Gephyromantis","Gephyromantis silvanus","Mantellidae",31,22.4870225413874,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"17","Gephyromantis spiniferus","Madagascar","MG","VU",1,1,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Mantellidae","Gephyromantis","Gephyromantis spiniferus","Mantellidae",38,33.7657313053491,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"18","Gephyromantis striatus","Madagascar","MG","VU",1,1,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Mantellidae","Gephyromantis","Gephyromantis striatus","Mantellidae",27,12.6109310786593,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"19","Scaphiophryne menabensis","Madagascar","MG","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Microhylidae","Scaphiophryne","Scaphiophryne menabensis","Microhylidae",45,7.26067520640955,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,1,1
"20","Anodonthyla hutchisoni","Madagascar","MG","EN",1,1,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Microhylidae","Anodonthyla","Anodonthyla hutchisoni","Microhylidae",24.4,29.9896985933804,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"21","Boophis tampoka","Madagascar","MG","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Mantellidae","Boophis","Boophis tampoka","Mantellidae",45.8,11.066550299167,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"22","Gephyromantis ventrimaculatus","Madagascar","MG","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Mantellidae","Gephyromantis","Gephyromantis ventrimaculatus","Mantellidae",29,21.8792497176374,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"23","Guibemantis punctatus","Madagascar","MG","CR",1,1,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Mantellidae","Guibemantis","Guibemantis punctatus","Mantellidae",27,15.9061789879217,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"24","Gephyromantis rivicola","Madagascar","MG","VU",1,1,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Mantellidae","Gephyromantis","Gephyromantis rivicola","Mantellidae",24,22.4870225413874,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"25","Gephyromantis salegy","Madagascar","MG","VU",1,1,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Mantellidae","Gephyromantis","Gephyromantis salegy","Mantellidae",50,18.5488141875218,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"26","Blommersia sarotra","Madagascar","MG","LC",0,0,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Mantellidae","Blommersia","Blommersia sarotra","Mantellidae",55.0556051183739,19.1225725665733,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
"27","Gephyromantis schilfi","Madagascar","MG","VU",1,1,0,0,0,"not-trade",0,0,0,0,NA,"Amphibian","Anura","Mantellidae","Gephyromantis","Gephyromantis schilfi","Mantellidae",29,13.5936359052609,"no","no",NA,NA,0,0,NA,NA,NA,NA,NA,"0","0","0",0,0,0,0,0,0,"0","0","0",0,0,NA,NA,0,0
