"","Exporter","Year","Category","Country","region","subregion","vol","SYear","Category1"
"1","EC","0","2","Ecuador","Americas","Latin America and the Caribbean",0,-1.68819054321925,"No"
"2","EC","1","2","Ecuador","Americas","Latin America and the Caribbean",0,-1.52178702385582,"No"
"3","EC","2","2","Ecuador","Americas","Latin America and the Caribbean",0,-1.3553835044924,"No"
"4","EC","3","2","Ecuador","Americas","Latin America and the Caribbean",0,-1.18897998512898,"No"
"5","EC","4","2","Ecuador","Americas","Latin America and the Caribbean",0,-1.02257646576555,"No"
"6","EC","5","2","Ecuador","Americas","Latin America and the Caribbean",0,-0.85617294640213,"No"
"7","EC","6","2","Ecuador","Americas","Latin America and the Caribbean",0,-0.689769427038707,"No"
"8","EC","7","2","Ecuador","Americas","Latin America and the Caribbean",0,-0.523365907675283,"No"
"9","EC","8","2","Ecuador","Americas","Latin America and the Caribbean",0,-0.35696238831186,"No"
"10","EC","9","2","Ecuador","Americas","Latin America and the Caribbean",0,-0.190558868948436,"No"
"11","EC","10","2","Ecuador","Americas","Latin America and the Caribbean",0,-0.024155349585013,"No"
"12","EC","11","2","Ecuador","Americas","Latin America and the Caribbean",0,0.142248169778411,"No"
"13","EC","12","2","Ecuador","Americas","Latin America and the Caribbean",0,0.308651689141834,"No"
"14","EC","13","2","Ecuador","Americas","Latin America and the Caribbean",146,0.475055208505257,"No"
"15","EC","14","2","Ecuador","Americas","Latin America and the Caribbean",655,0.641458727868681,"No"
"16","EC","15","2","Ecuador","Americas","Latin America and the Caribbean",393,0.807862247232104,"No"
"17","EC","16","2","Ecuador","Americas","Latin America and the Caribbean",96,0.974265766595528,"No"
"18","EC","17","2","Ecuador","Americas","Latin America and the Caribbean",1068,1.14066928595895,"No"
"19","EC","18","2","Ecuador","Americas","Latin America and the Caribbean",311,1.30707280532238,"No"
"20","EC","19","2","Ecuador","Americas","Latin America and the Caribbean",99,1.4734763246858,"No"
"21","EC","20","2","Ecuador","Americas","Latin America and the Caribbean",0,1.63987984404922,"No"
"22","GY","0","2","Guyana","Americas","Latin America and the Caribbean",177,-1.68819054321925,"No"
"23","GY","1","2","Guyana","Americas","Latin America and the Caribbean",26,-1.52178702385582,"No"
"24","GY","2","2","Guyana","Americas","Latin America and the Caribbean",34,-1.3553835044924,"No"
"25","GY","3","2","Guyana","Americas","Latin America and the Caribbean",0,-1.18897998512898,"No"
"26","GY","4","2","Guyana","Americas","Latin America and the Caribbean",0,-1.02257646576555,"No"
"27","GY","5","2","Guyana","Americas","Latin America and the Caribbean",501,-0.85617294640213,"No"
"28","GY","6","2","Guyana","Americas","Latin America and the Caribbean",0,-0.689769427038707,"No"
"29","GY","7","2","Guyana","Americas","Latin America and the Caribbean",10,-0.523365907675283,"No"
"30","GY","8","2","Guyana","Americas","Latin America and the Caribbean",1018,-0.35696238831186,"No"
"31","GY","9","2","Guyana","Americas","Latin America and the Caribbean",317,-0.190558868948436,"No"
"32","GY","10","2","Guyana","Americas","Latin America and the Caribbean",194,-0.024155349585013,"No"
"33","GY","11","2","Guyana","Americas","Latin America and the Caribbean",247,0.142248169778411,"No"
"34","GY","12","2","Guyana","Americas","Latin America and the Caribbean",373,0.308651689141834,"No"
"35","GY","13","2","Guyana","Americas","Latin America and the Caribbean",0,0.475055208505257,"No"
"36","GY","14","2","Guyana","Americas","Latin America and the Caribbean",284,0.641458727868681,"No"
"37","GY","15","2","Guyana","Americas","Latin America and the Caribbean",192,0.807862247232104,"No"
"38","GY","16","2","Guyana","Americas","Latin America and the Caribbean",150,0.974265766595528,"No"
