"","Exporter","Year","Category","Country","region","subregion","vol","SYear","Category1"
"1","AO","13","P","Angola","Africa","Sub-Saharan Africa",0,0.470031858896132,"No"
"2","AO","14","P","Angola","Africa","Sub-Saharan Africa",0,0.635915813979963,"No"
"3","AO","15","P","Angola","Africa","Sub-Saharan Africa",0,0.801799769063794,"No"
"4","AO","16","3","Angola","Africa","Sub-Saharan Africa",0,0.967683724147625,"No"
"5","AO","17","P","Angola","Africa","Sub-Saharan Africa",226,1.13356767923146,"No"
"6","AO","18","P","Angola","Africa","Sub-Saharan Africa",0,1.29945163431529,"No"
"7","AO","19","P","Angola","Africa","Sub-Saharan Africa",0,1.46533558939912,"No"
"8","AO","20","1","Angola","Africa","Sub-Saharan Africa",0,1.63121954448295,"Yes"
"9","AR","0","1","Argentina","Americas","Latin America and the Caribbean",35361,-1.68645955719367,"Yes"
"10","AR","1","1","Argentina","Americas","Latin America and the Caribbean",48230,-1.52057560210984,"Yes"
"11","AR","2","1","Argentina","Americas","Latin America and the Caribbean",140188,-1.35469164702601,"Yes"
"12","AR","3","1","Argentina","Americas","Latin America and the Caribbean",148693,-1.18880769194218,"Yes"
"13","AR","4","1","Argentina","Americas","Latin America and the Caribbean",97483,-1.02292373685835,"Yes"
"14","AR","5","1","Argentina","Americas","Latin America and the Caribbean",125452,-0.857039781774517,"Yes"
"15","AR","6","1","Argentina","Americas","Latin America and the Caribbean",254300,-0.691155826690686,"Yes"
"16","AR","7","1","Argentina","Americas","Latin America and the Caribbean",392573,-0.525271871606855,"Yes"
"17","AR","8","1","Argentina","Americas","Latin America and the Caribbean",247179,-0.359387916523024,"Yes"
"18","AR","9","1","Argentina","Americas","Latin America and the Caribbean",23033,-0.193503961439192,"Yes"
"19","AR","10","1","Argentina","Americas","Latin America and the Caribbean",58724,-0.0276200063553614,"Yes"
"20","AR","11","1","Argentina","Americas","Latin America and the Caribbean",26,0.13826394872847,"Yes"
"21","AR","12","1","Argentina","Americas","Latin America and the Caribbean",0,0.304147903812301,"Yes"
